time,rnk,cores,mode,uw,ov,ovm,overhead,ov,exp,mode,distrib
0.071874,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.057922,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.03964,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.040143,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.039049,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04091,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.037995,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043687,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.041236,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038587,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.041417,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.042404,0,3,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.109258,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.103286,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.094816,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.111171,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.112381,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.112207,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.108744,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.086918,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.110814,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.093601,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.043875,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044487,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044133,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044815,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043879,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04412,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043889,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.042835,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.045464,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.045055,0,3,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.157563,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.152432,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.1515,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.166189,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.143789,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.139622,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.14041,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.162232,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.152575,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.147679,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.046326,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04522,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04786,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.046699,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043977,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.049488,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04653,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.046133,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.047238,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.047723,0,3,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.048135,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.047663,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.047064,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.048756,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.048265,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.051103,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.06094,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.056765,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.045098,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.058545,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.034173,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.036743,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.037228,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
